"","x"
"1","bit drowsy"
"2","drowsy"
"3","little blurred vision"
"4","blurred vision"
"5","arthrotec"
"6","arthritis"
"7","agony"
"8","gastric problems"
"9","pains"
"10","feel  bit weird"
"11","implies  previous symptom  pain."
"12","hip pain"
"13","walk  &  steps sideways"
"14","hunger pangs"
"15","vaginal bleeding"
"16","stomach pain"
"17","canker sores"
"18","sores   mouth   result   medication"
"19","headache"
"20","pain"
"21","shortness  breath"
"22","depression"
"23","psychological side effect  depression"
"24","cramping"
"25","upset stomache"
"26","i  stand  walk   lengths  time"
"27","reason  taking drug,  specific   standing   pain"
"28","bleeding"
"29","arthotec"
"30","pain  stiffness"
"31"," much pain"
"32","feel weak  almost fainted"
"33","diarrhea"
"34","constipation"
"35","fatigue"
"36"," heel i  walk   well"
"37","severe osteoarthritis   hands"
"38","severe osteoarthritis   knees"
"39","body swelling"
"40","oedema"
"41","forgetfulnes  confussion"
"42","psychological side effect  confusion"
"43","loose stools"
"44","insomina"
"45","existing insomnia made worse"
"46","""empty stomach"" feeling"
"47","abdominal discomfort   pain."
"48","ha (hyaluronic acid)"
"49","swelling face"
"50","swelling wrists"
"51","swelling abdomen"
"52","swelling thighs"
"53","rectal bleed"
"54","extremely sick"
"55","felt i might  survive"
"56","abdominal pain"
"57","dizzieness"
"58","blood clots  urine"
"59","urine leaking"
"60","upset stomach"
"61","throw "
"62","deep constant pain"
"63","pain   stomach"
"64","i may need  go   restroom,   i  i "
"65","increased urinary urgency  hesitancy"
"66","uterine cramps"
"67","pubic region pain"
"68","heavy menstrual bleeding"
"69","alot  gas"
"70","nausea"
"71","swelling"
"72","little gas"
"73","flatulence"
"74","extreme stomach pain"
"75","horrible stomach pain"
"76","uterine, cramps (menopausal  20 years)"
"77"," urinate"
"78","urinary retention"
"79","severe stomach pain"
"80","constant burping"
"81","gassy"
"82","pain   ovaries (menopausal  20 years)"
"83","pressure   stomach"
"84","stomach cramping"
"85","extreme pain"
"86","uterus starting   spasms"
"87","cramping pain"
"88","bleeding  i   day 12   cycle"
"89","back pain"
"90","uterus pain  cramping"
"91","period cramps"
"92","worst pain i  ever experienced"
"93","severe stomach cramping"
"94","high blood pressure"
"95","ankle swelling"
"96","celebrex"
"97","stomach cramps"
"98","weight increase"
"99","weight gain"
"100","arthritis pain"
"101","affecting  stomach(acid reflux)"
"102","affecting  kidneys"
"103","appetite increase"
"104","raised appetite"
"105","stomach feels empty   time"
"106","dizziness"
"107","severly restricted"
"108","  walk less  100 meters"
"109","stomach sensitivity"
"110","uterine cramping"
"111","nauseated"
"112","several bowel movements"
"113","vaginal bleeding  i   11 days   cycle"
"114","cold sweat, shaking uncontrollably"
"115","feeling symptoms  shock"
"116","it felt like i    baby"
"117","i felt like i  going  pass "
"118","gut wrenching pain"
"119","going  shock"
"120","ibuprofen"
"121","dizzines"
"122","dioreah"
"123","disorientation"
"124","ulceration  stomach"
"125","ulceration   osophragus"
"126","infections   blader"
"127","feeling depressed"
"128","feeling exausted"
"129","pain  stomach cramps"
"130","diarrhoa"
"131","heavy menstral bleeding  clots even though   just finished  cycle  week "
"132","couldnt pass urine"
"133","urine full  blood"
"134","felt  weak"
"135","  stop shaking"
"136","threw "
"137","gas"
"138","headaches"
"139","5-6 times  night  pee; normally 1  2"
"140","nocturia"
"141","muscles   left leg locked "
"142","vomited"
"143","stomack"
"144","knee pain"
"145","osteoarthritis"
"146","pain pain pain"
"147","gastrointestinal cramping"
"148","stomach gas  intense pain"
"149","also included  concept  bloating  distension"
"150","sick"
"151","generally sick.  sure   mean malaise,     referring   nausea, vomiting  diarrhea"
"152","   .  general sick  mean  number  things.   equate    concept  malaise"
"153","sick   stomach"
"154","menstrual cramps"
"155","back ache"
"156","sick  stomach"
"157"," specific enough. suspect  mean nausea,   real life   ask  clarification   whether  mean vomiting  diaarrhea"
"158","lower back pain"
"159","   sick  stomach"
"160","mild cramps"
"161","bloating"
"162","abdominal distension  bloating"
"163","post traumaic osteoarthritis"
"164","tums"
"165","  drug  question.    suggestion    counter drug  alleviate side effects."
"166","gas-x"
"167","limp"
"168","gastritis"
"169","severe stomach upset"
"170","false full feeling"
"171"," poor appetite"
"172","increased menstruation"
"173","menstrual cramps  vaginal bleeding"
"174","menopausal phase"
"175","2-3 periods  month instead    month"
"176","menstrual cramps without vaginal bleeding"
"177","swelling   legs"
"178","leg oedema"
"179","bone marrow biopsy"
"180","iatrogenic bone injury"
"181","arthritis strength tylenol"
"182","tylenol 3"
"183","couldn't sleep"
"184","insomnia"
"185","no concentration"
"186","poor concentration"
"187","loosing days  work"
"188","loss  normal activities  daily living"
"189","arthritic pain"
"190","arthrotec 50"
"191","cramps"
"192","stomach problems"
"193","general stomach problems,   nausea, vomiting, diarrhea"
"194","pain  foot"
"195","zantac"
"196","drug  help manage  side effect"
"197","blood   stools"
"198","blood  stool ( clear    frank  digested)"
"199","major cramps"
"200","foot pain"
"201","stomach queasy"
"202","meloxicam"
"203","previous drug"
"204","oa"
"205","spine & hip pain"
"206","minor period bleeding"
"207","adr  experienced  previous medication   class"
"208","ra"
"209","rheumatoid arthritis"
"210","caffeine"
"211","drug    taking"
"212"," drug  takes  control nonspecific gi symptoms"
"213","celebrex 200mg"
"214","menopausal"
"215","irregular bowel"
"216","diahorea"
"217","painful stomach cramps"
"218","passing blood  clots  stoals"
"219","haematochezia  melena.  clear "
"220","anxiety"
"221","severe headaches"
"222","loose stool"
"223","muscle spasms  leg"
"224","spasms  left arm"
"225","athritic pain"
"226","joint pain"
"227","celebrex 8"
"228","arthrotec 75"
"229"," stomach felt empty  hollow"
"230","feeling  stomach emptiness, hollowness, hunger??"
"231","deep pain- like gas pains"
"232","stomach emptiness  pain"
"233","hot flashes"
"234","sweated"
"235","diaphoresis"
"236","pain   pit   stomach"
"237","deep ache   waist    heels   feet"
"238","leg pain"
"239","stomach stayed upset  painful"
"240","""back labor"" pains"
"241","prolonged miscarriage"
"242","deep pain   pelvis    legs"
"243","pelvic  leg pain"
"244","increase  cramping"
"245","breasts getting    ( !"
"246","breast hypertrophy"
"247","alternative drug"
"248","aleve"
"249","naproxen sodium"
"250","lyrica"
"251"," drug"
"252","excessive mestrual bleeding"
"253","adr   medication"
"254","prednisone"
"255","another drug   "
"256","birth control pills"
"257"," drug    reactions "
"258","codeine"
"259"," drug    reationt o"
"260","opiate"
"261","another drug    reaction "
"262","hydrocodone"
"263","corti-cortisones"
"264","pseudoephedrine"
"265","morphine"
"266","demerol"
"267","percocette"
"268","darvon"
"269","cyclobenzoprene"
"270","sulfur drugs"
"271","another drug    reaction .... this lady seems like    whole bag  issues."
"272","felt like  leg bones  filled  cold metal  ached deeply  hurt"
"273","benedryl"
"274","ulcers"
"275","lethal"
"276","hungry feeling"
"277","hunger"
"278","acid reflux"
"279","acid reflux   often experienced  chest pain     referring   oral taste  sore throat"
"280","acidic bile   mouth"
"281","reflux"
"282","pain severe"
"283","acute shoulder tendonitis"
"284","inflammation"
"285","blood pressure slightly elevated"
"286","pain  major joints"
"287","elevated blood pressure"
"288","hypertension"
"289","heart palpitations"
"290","palpitations"
"291","dizzy"
"292","extreme gas  stomach  intestines"
"293","acid reflux-type symptoms"
"294","dyspepsia"
"295","stomach irritation"
"296","pressure  "
"297","pulled  lower back"
"298","tylenol #3"
"299","severe abdominal pain"
"300","bowel/uterine cramping"
"301","shoulder pain"
"302","severe pain"
"303","flatulance"
"304","nauseous"
"305","stomach  still sore"
"306","muscular pains"
"307","diahrea"
"308","lower tendon pain"
"309","mobility"
"310","indicates  patient  mobility problems."
"311","heavy vaginal bleeding"
"312","paracetamol"
"313","labor pain"
"314","serious pain"
"315","bleeding   vagina"
"316","diclofenac  misoprostol"
"317","mentstrual cramps"
"318","diarreah cramping"
"319","lower abdominal pain"
"320","advil"
"321","inflammation   back muscles"
"322","inflammation   neck"
"323","gi bleed"
"324","anemia"
"325","gastric bleed"
"326","light headed"
"327","acidic bile   back   throat"
"328","highly immobile"
"329","constant pain"
"330","chronic arthritic type issues"
"331","stomach issues"
"332","slightly heavier menstrual cycle"
"333","lower pelvic pain"
"334","uterus contractions"
"335","bloody vagina"
"336","gastric pain"
"337","something wrong   uterus"
"338","heartburn"
"339","voracious hunger"
"340","hunger pains  probably represent abdominal pains"
"341","sharp unbearable cramping pains  lower gut"
"342","pain   forearms"
"343","major menstrual cramps"
"344","sickness"
"345","puking"
"346","menstrating"
"347","brought  period "
"348","but   possibly  describing menorrhagia"
"349","period another"
"350","severe abdominal cramping"
"351","sweating"
"352","gastric reflux"
"353","migraine"
"354","dry mouth"
"355","excessive cramping"
"356","tired"
"357","unconsolable"
"358","possible pain/ distress  anxiety symptoms"
"359","severe vaginal cramps"
"360","pamprin"
"361","sore knee"
"362","knee inflammation"
"363","extreme hunger"
"364","possibly another form  stomach/abdominal pain"
"365","loss  apetite"
"366","possibly  anorexia   due   given   symptoms listed"
"367","pain really bad"
"368","severe mentrual cramps"
"369","birth control pill"
"370","endo pain"
"371","abortion"
"372","menopause"
"373","i   sure   can  mapped  anything  amt  sct."
"374","this  mean chest pain/ dyspnoea/ anything"
"375","bleeding inside"
"376","given  context    likely   person  referring "
"377","cramp"
"378","'scared' feeling"
"379","anxiety related"
"380","return   period"
"381","cymbalta"
"382","endometriosis"
"383","adenomyosis"
"384","eds"
"385","impairment  blood clotting"
"386","extreme itching  legs  arms"
"387","mobility  decreased"
"388","muscle pain"
"389","co-codamol"
"390","clotting,  horrible periods"
"391","bleeding problem"
"392","bleeding constantly"
"393","birth control"
"394","bleeding   subsided"
"395","heavy/extra vaginal bleeding"
"396","not sure   can  mapped  sct  amt."
"397","extra pains"
"398","extreme tiredness"
"399","heartburn  back  throat"
"400","severe lower abdominal pain/cramping"
