"","slang.V1","exp.V1"
"1","!","I have a comment"
"2","#FF","Follow Friday"
"3","(U)","it means arms around you, hug for you"
"4","*$","Starbucks"
"5","**//","it means wink wink, nudge nudge"
"6",",!!!!","Talk to the hand"
"7","/R/","Requesting"
"8","02","Your (or my) two cents worth, also seen as m.02"
"9","10Q","Thank you"
"10","1174","Nude club"
"11","121","One to one"
"12","123","it means I agree"
"13","1337","Elite -or- leet -or- L337"
"14","14","it refers to the fourteen words"
"15","142n8ly","Unfortunately"
"16","143","I love you"
"17","1432","I Love You Too"
"18","14AA41","One for All and All for One"
"19","182","I hate you"
"20","187","it means murder/ homicide"
"21","19","0 hand"
"22","1daful","it means wonderful"
"23","1V4","One Vs. Four"
"24","2","it means to, too, two"
"25","20","Location"
"26","24/7","Twenty Four Seven, as in all the time"
"27","2b","To be"
"28","2B or not 2B","To Be Or Not To Be"
"29","2b@","To Be At"
"30","2BZ4UQT","Too Busy For You Cutey"
"31","2B~not2B","To be or not to be"
"32","2d4","To die for"
"33","2day","Today"
"34","2DLoo","Toodle oo"
"35","2G2B4G","Too Good To Be Forgotten"
"36","2G2BT","Too Good To Be True"
"37","2moro","Tomorrow"
"38","2nite","Tonight"
"39","2QT","Too Cute"
"40","2U2","To You Too"
"41","303","Mom"
"42","4","For, Four"
"43","403","Deny Access To"
"44","404","I haven't a clue"
"45","411","Information"
"46","420","Marijuana"
"47","459","I love you"
"48","4COL","For Crying Out Loud"
"49","4e","Forever"
"50","4EAE","ForEver And Ever"
"51","4eva","Forever"
"52","4ever","Forever"
"53","4FS","For F***’s Sake"
"54","4NR","Foreigner"
"55","4Q","F*** You"
"56","511","Too much information"
"57","53X","Sex"
"58","5FS","5 Finger Salute"
"59","747","Let's Fly"
"60","775","Kiss Me"
"61","8","it means ate, it also refers to oral sex"
"62","831","I Love You"
"63","86","Out of, over, to get rid of, or kicked out"
"64","88","Hugs and kisses"
"65","8t","it means it"
"66","9","Parent is watching"
"67","99","Parent is no longer watching"
"68","::poof::","I'm gone"
"69","<3","it's a heart"
"70","=","it means reply"
"71","?","I have a question"
"72","?^","Hook up?"
"73","@","it means at -or- it means reply to"
"74","@+","French equivalent of CUL8R"
"75","@TEOTD","At The End Of The Day"
"76","A/N","Author's Note"
"77","A/S/L/P","Age/Sex/Location/Picture"
"78","A2D","Agree to Disagree"
"79","A3","Anytime, Anyplace, Anywhere"
"80","AAAAA","American Association Against Acronym Abuse"
"81","AAF","As A Friend -or- Always And Forever"
"82","AAK","Asleep At Keyboard"
"83","AAMOF","As A Matter Of Fact"
"84","AAMOI","As A Matter Of Interest"
"85","AAP","Anarchy Arrogance Pollution"
"86","AAR","At Any Rate"
"87","AAR8","At Any Rate"
"88","AAS","Alive And Smiling"
"89","AATK","Always At The Keyboard"
"90","AAYF","As Always, Your Friend"
"91","AB","Ass Backwards -or- Ah Bless"
"92","ab/abt","about"
"93","ABC","Always Be Creating/Communicating -or- Accept, Believe, Confess"
"94","ABH","Anywhere But Here"
"95","ABITHIWTITB","A Bird In The Hand Is Worth Two In The Bush"
"96","ABK","Always Be Knolling"
"97","ABT2","About To"
"98","ACC","Actually"
"99","ACD","Alt Control Delete"
"100","ACE","Access Control Entry"
"101","ACK","Acknowledgement"
"102","ACORN","A Completely Obsessive Really Nutty person"
"103","ADAD","Another Day Another Dollar"
"104","ADBB","All Done Bye Bye"
"105","add","Address"
"106","addy","address"
"107","ADIDAS","All Day I Dream About Sex"
"108","ADIH","Another Day In Hell"
"109","ADIP","Another Day In Paradise"
"110","ADM","Aye Dios Mio"
"111","ADN","Advanced Digital Network -or- Any Day Now"
"112","ADR","Address"
"113","ADVD","Advised"
"114","AEAP","As Early As Possible"
"115","AF","As F*** or After Fate"
"116","AFAGAY","A Friend As Good As You"
"117","AFAHMASP","A Fool And His Money Are Soon Parted"
"118","AFAIC","As Far As I'm Concerned"
"119","AFAICS","As Far As I Can See"
"120","AFAICT","As Far As I Can Tell"
"121","AFAIK","As Far As I Know"
"122","AFAIR","As Far As I Remember"
"123","AFAIU","As Far As I Understand"
"124","AFAIUI","As Far As I Understand It"
"125","AFAP","As Far As Possible"
"126","AFAYC","As Far As You're Concerned"
"127","AFC","Away From Computer"
"128","AFDN","Any F***ing Day Now"
"129","AFGO","Another F***ing Growth Opportunity"
"130","AFIAA","As Far As I Am Aware"
"131","AFINIAFI","A Friend In Need Is A Friend Indeed"
"132","AFJ","April Fools Joke"
"133","AFK","Away From Keyboard -or- A Free Kill"
"134","AFPOE","A Fresh Pair Of Eyes"
"135","AFT","About F***ing Time"
"136","AFU","All F***ed Up"
"137","AFW","Away From Window"
"138","AFZ","Acronym Free Zone"
"139","AGB","Almost Good Bridge"
"140","AGIG","American Girl InstaGram"
"141","AGKWE","And God Knows What Else"
"142","AI","Artificial Intelligence -or- As If"
"143","AIAMU","And I'm A Monkey's Uncle"
"144","aight","all right"
"145","AIH","As It Happens"
"146","AIMB","As I Mentioned Before"
"147","AIMP","Always In My Prayers"
"148","AISB","As I Said Before"
"149","AISE","As I Said Earlier"
"150","AISI","As I See It"
"151","AITR","Adult In The Room"
"152","AKA or a.k.a.","Also Known As"
"153","ALAP","As Late As Possible"
"154","alcon","All Concerned"
"155","ALOL","Actually Laughing Out Loud"
"156","ALOTBSOL","Always Look On The Bright Side Of Life"
"157","ALTG","Act Locally, Think Globally"
"158","ALW","Ain't Life Wonderful"
"159","AMA","Ask Me Anything"
"160","AMAP","As Many As Possible -or- As Much As Possible"
"161","AMBW","All My Best Wishes"
"162","AMF","Adios Mother F***er"
"163","AML","All My Love"
"164","AMOSC","Add Me On SnapChat"
"165","AMP","Accelerated Mobile Pages"
"166","AMRMTYFTS","All My Roommates Thank You For The Show"
